id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
192,핑거 마우스,743,0.23,68,109.0k,345.3k,-0.53,620|590|600|760|650|600|540|690|1.4k|770|810|650,8,8256,1,32,,D,false,A
193,hacker 마우스 설정,16,,0,0,0,0,20|10|30|10|10|10|20|20|20|20|10|20,1,2113,0,0,,D,false,A
194,사무용 무선 마우스 추천 디시,150,0.24,83,0,0,-0.35,90|90|90|110|90|90|110|90|170|170|170|110,1,65,0,0,,D,false,A
195,3d 모델링 마우스 추천,23,,24,0,0,-0.5,50|70|40|30|50|20|40|40|40|30|20|20,8,10305,0,0,136,D,false,A
196,설계용 마우스 추천,23,0.34,97,0,0,-0.5,30|20|30|20|20|50|42|40|20|20|40|10,4,8257,0,0,136,D,false,A
197,캐드용 마우스 추천,54,0.37,100,0,0,-0.28,58|70|70|70|80|70|50|50|70|64|50|50,4,65,0,0,136,D,false,A
198,캐드 무선마우스,0,,,0,0,0,0|15|18|0|0|0|0|0|0|0|0|0,8,65,0,0,136,D,false,A
199,게이밍 마우스 추천 2025,40,,86,0,0,-0.85,90|140|140|170|140|210|170|210|140|70|30|20,1,10305,0,0,136,D,false,A
200,지슈라 핑크 디시,20,,18,0,0,-0.5,40|50|50|30|30|40|30|40|20|30|20|10,1,64,0,0,,D,false,A
201,그래픽 용 마우스,0,,,0,0,-1,0|0|0|0|0|0|0|0|16|0|0|0,8,65,0,0,195|114|165|108|216|789|129|35|101|180|183,D,false,A
202,마우스 커스텀 업체,81,0.19,7,0,0,-0.01,40|50|50|70|70|70|94|89|85|70|90|84,1,64,0,0,,D,false,A
203,링 마우스 후기,40,,4,0,0,-0.57,50|100|210|90|95|70|50|40|70|50|40|30,1,8256,0,0,,D,false,A
204,2만원대 마우스,43,0.01,66,0,0,-0.57,50|64|90|104|70|50|50|65|70|50|51|30,9,8256,0,0,136,D,false,A
205,로지텍 사무용 마우스,1360,0.13,100,99.6k,347.1k,-0.09,860|810|1.1k|940|840|1.1k|1.1k|1.2k|1.2k|1.4k|1.5k|1.1k,8,8256,1,16,1507,D,false,A
206,블루투스 반지 마우스,153,0.37,99,50.9k,269.6k,-0.78,30|370|300|1.2k|560|360|230|300|410|190|180|90,8,8256,0,32,,D,false,A
207,개발자 무선 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,D,false,A
208,캐드용 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1089,0,0,136,D,false,A
209,링 마우스 디시,56,,17,0,0,-0.44,30|40|70|50|70|70|30|50|90|50|70|50,4,0,0,0,,D,false,A
210,레이저 커스텀 마우스,22,0.25,82,0,0,0,10|10|10|20|10|10|10|10|10|10|46|10,4,1088,0,0,,D,false,A
211,손가락 보호 마우스,13,,,0,0,-1,30|50|20|20|40|20|16|15|17|20|19|0,8,10305,0,0,209|134|203|147|35|1270|206|123|126|112|192|166,D,false,A
212,캐드 용 3버튼 마우스,10,,0,0,0,0,10|0|0|10|10|0|10|10|10|10|10|10,8,1088,0,0,136,D,false,A
213,알리 블루투스 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,136,D,false,A
214,3d 모델링 마우스 추천 디시,13,,20,0,0,-0.5,20|20|10|10|10|10|10|10|20|20|10|10,1,0,0,0,136,D,false,A
215,프로그래밍 마우스,20,0.47,63,122.1k,540.8k,0,20|10|33|30|10|20|20|20|20|20|20|20,4,64,0,0,103|109|178|107|128|207|154|789|184|35|136|181,D,false,A
216,디자인과 마우스,7,,,0,0,0,0|0|0|0|0|0|0|0|0|11|12|0,4,8257,0,0,,D,false,A
217,핑크색 마우스,386,0.15,77,0,0,-0.07,310|260|280|280|250|380|230|310|380|370|440|350,8,1088,0,8,132|193|163|789|125|179|35|101|172|186|200|185,D,false,A
218,솔리드 웍스 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,136,D,false,A
219,다이소 소파 받침,4,,,0,0,-1,0|16|10|21|0|11|0|13|12|12|0|0,8,1088,0,0,291,E,false,A
220,가구다리 스티커,0,,,0,0,0,40|13|24|28|14|11|23|0|0|0|0|0,8,1088,0,0,291,E,false,A
221,다이소 말랑이 손목쿠션,16,,,0,0,0,0|10|0|11|0|23|11|11|11|14|23|11,8,1088,0,0,278,E,false,A
222,손목 패드 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,E,false,A
223,모락 모쿠 손목 받침대 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,,E,false,A
224,다이소 고양이 손목쿠션,59,,7,0,0,-0.03,81|44|53|53|42|61|61|60|63|54|62|61,8,1088,0,0,,E,false,A
225,왼손 마우스 추천,52,0.17,95,80.6k,394.6k,-0.24,40|50|50|60|60|50|70|80|50|80|40|38,8,8257,0,0,,E,false,A
226,키보드 거치대 다이소,36,0.08,56,0,0,-0.5,50|20|70|50|70|70|140|90|60|49|30|30,8,64,0,0,,E,false,A
227,마우스 손목쿠션 디시,10,,72,0,0,30,0|0|0|0|0|0|0|0|0|0|0|30,4,64,0,0,,E,false,A
228,손목쿠션 효과,23,,45,0,0,1,50|40|30|20|20|20|20|10|10|30|20|20,1,8257,0,0,259,E,false,A
229,키보드 손목 받침대 디시,173,,85,0,0,-0.17,110|140|170|170|140|140|110|170|170|210|170|140,1,1088,0,0,,E,false,A
230,다이소 마우스 손목쿠션,203,0,39,0,0,0.25,220|150|220|130|170|190|290|410|200|240|120|250,8,64,0,32,,E,false,A
231,실리콘 의자캡,3,,,0,0,-1,0|12|22|10|0|0|10|0|11|11|0|0,8,1088,0,0,291,E,false,A
232,컴퓨터 손목 보호대 디시,63,0.59,60,0,0,0,70|70|110|140|110|110|110|50|70|50|70|70,1,64,0,0,,E,false,A
233,손목보호 마우스패드 추천,76,0.36,100,177.2k,553.2k,0.14,40|40|80|70|90|68|70|70|70|60|90|80,8,9281,0,32,,E,false,A
234,다이소 키보드 손목 받침대,513,0.13,68,0,0,0.52,370|380|220|230|380|250|290|340|420|370|530|640,8,1088,0,0,,E,false,A
235,손목 편한 마우스,493,0.22,100,137.4k,364.9k,-0.08,380|410|460|420|420|370|360|390|500|460|560|460,8,9281,0,0,1507|1390|1239|1270|1316|1384,E,false,A
236,손목 밴드 쿠션,0,,,0,0,0,0|15|0|0|14|0|0|0|0|0|0|0,8,1088,0,0,278,E,false,A
237,다이소 손목쿠션,496,0.03,27,0,0,-0.03,630|640|710|700|720|510|490|480|510|500|500|490,8,1088,0,0,278,E,false,A
238,다이소 키보드 받침,21,,,0,0,-0.28,18|18|18|20|20|19|20|15|28|15|30|20,8,1088,0,0,330,E,false,A
239,키보드 손목 쿠션,333,0.04,82,35.6k,190.9k,0.76,400|390|530|420|340|290|460|320|250|210|350|440,9,8256,0,8,278,E,false,A
240,가구패드,470,0.1,87,0,0,-0.16,1.8k|1.4k|1.6k|1.6k|1.6k|1.8k|1.9k|610|490|460|540|410,4,1088,0,16,291,E,false,A
241,테프론 패드,413,0.45,16,103.2k,766.6k,-0.17,470|530|570|510|430|320|330|430|520|390|420|430,8,9280,1,32,291,E,false,A
242,마우스 거치대 다이소,20,,,0,0,0,0|17|20|30|30|20|20|0|20|20|20|20,8,1088,0,0,259,E,false,A
243,마우스패드 쿠션,73,0.01,57,0,0,0.16,80|80|100|80|100|40|60|50|60|80|70|70,8,9281,2,24,278,E,false,A
244,마우스 손목 받침대 사용법,23,0.52,19,0,0,1,10|20|10|10|20|10|20|10|10|30|20|20,1,8257,0,0,325,E,false,A
245,손목 쿠션 제작,22,,14,0,0,-0.15,30|50|20|40|37|10|10|24|32|10|31|27,5,8257,0,0,278,E,false,A
246,다이소 손목쿠션 디시,30,,8,0,0,0,30|40|30|20|30|20|20|10|30|40|20|30,4,1088,0,0,,E,false,A
247,마우스 받침대,846,0.15,100,72.7k,222.7k,0,800|810|890|830|850|690|670|650|770|800|970|770,8,9280,0,16,,E,false,A
248,손목 보호 인형,43,,25,0,0,0.37,40|40|40|50|57|33|24|27|35|48|34|48,8,1088,0,0,278,E,false,A
249,우팅 손목 받침대 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,,E,false,A
250,다이소 마우스 손목 받침대,156,0,58,0,0,-0.59,270|260|290|90|110|70|110|190|270|120|240|110,8,1024,0,0,,E,false,A
251,마우스 손목받침대,5813,0.17,100,99.9k,350.5k,-0.07,7.8k|8.4k|9.1k|7.2k|6.9k|5.5k|6.3k|5.6k|6.2k|5.3k|6.4k|5.7k,8,9280,0,16,259,E,false,A
252,손목 쿠션 디시,23,0.64,19,0,0,0,20|30|30|20|20|10|10|10|20|20|30|20,1,64,0,0,,E,false,A
253,키보드 손목 받침대,11300,0.17,100,86.0k,404.0k,-0.04,8.7k|7.5k|9.0k|8.4k|10.5k|8.2k|6.6k|7.9k|10.0k|9.5k|14.8k|9.6k,9,9280,0,0,,E,false,A
254,팜레스트 효과,76,0.09,17,0,0,-0.22,70|90|110|70|107|90|50|70|90|90|70|70,1,65,0,0,,E,false,A
255,다이소 팜레스트 디시,56,,21,0,0,0,20|30|40|30|30|30|30|40|30|70|70|30,1,0,0,0,,E,false,A
256,왼손 버티컬 마우스,343,0.21,100,43.8k,150.3k,-0.05,240|300|300|350|310|270|230|290|370|300|380|350,9,8256,0,0,,E,false,A
257,마우스 팜레스트 추천,26,,100,0,0,0,30|20|20|40|30|20|10|20|30|30|20|30,9,10241,0,0,,E,false,A
258,마우스 손목 받침대 추천 디시,150,0.51,100,0,0,0.54,170|140|210|140|90|140|140|90|110|140|140|170,1,2113,0,0,,E,false,A
259,마우스 손목 받침대다이소,20,,,0,0,0,20|40|50|20|30|15|0|50|20|20|20|20,8,9280,0,0,268|289|237|272|255|280|258|264|227|35|282|253,E,false,A
260,마우스 패드,60466,0.27,98,83.8k,536.8k,-0.29,48.1k|47k|58.9k|57.7k|53.2k|48.5k|50.4k|57.8k|72.2k|65k|65.4k|51k,8,2113,0,0,,E,true,A
261,마우스 손목 보호대 디시,63,0.38,71,0,0,0,40|50|70|70|40|50|50|40|50|70|70|50,4,64,0,0,,E,false,A
262,손목받침 인형,4,,,0,0,0,0|15|0|20|0|0|0|14|0|13|0|0,8,64,0,0,237|287|264|265|35|323|252|228|253|239|326|271,E,false,A
263,마우스 쿠션,160,0.42,64,59.2k,612.4k,-0.22,180|220|230|190|210|150|100|140|220|150|160|170,8,11329,0,8,278,E,false,A
264,마우스 손목받침대 퀘이사존,60,,63,0,0,-0.42,90|70|70|90|70|70|70|50|70|70|70|40,1,64,0,0,,E,false,A
265,마우스 손목쿠션효과,10,,10,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,8257,0,0,,E,false,A
266,손목받침대 디시,76,0.13,62,0,0,0,70|90|110|110|90|70|90|90|90|70|70|90,1,64,0,0,,E,false,A
267,다이소 마우스패드 손목,30,,,0,0,0.2,30|16|20|0|0|0|0|0|50|0|30|60,8,1088,0,16,330,E,false,A
268,다이소 마우스패드,6270,0.14,45,26.9k,121.0k,-0.15,5.0k|5.0k|5.2k|5.6k|5.5k|4.9k|4.7k|4.9k|6.2k|6.5k|7.0k|5.3k,8,1088,0,0,,E,false,A
269,손목 쿠션 인형,52,,,0,0,2,70|30|50|40|60|29|29|39|20|38|60|60,4,64,2,0,278,E,false,A
270,마우스 손목 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,324|35|303|310|1270|235,E,false,A
271,팜레스트,14086,0.2,74,104.9k,450.3k,-0.14,12.3k|12.3k|14.9k|13.1k|13.8k|11.9k|12.4k|13.9k|15.5k|13.1k|16.0k|13.2k,9,9536,0,24,,E,false,A
272,다이소 컴퓨터 손목보호대,0,,,0,0,0,0|12|0|0|0|0|0|0|0|0|0|0,8,3136,0,0,,E,false,A
273,왼손 마우스 연습,30,,0,0,0,-0.6,30|40|40|40|40|40|43|30|50|40|30|20,1,0,0,0,,E,false,A
274,마우스 팜레스트 디시,90,0.49,39,0,0,0,70|70|110|90|70|110|90|70|90|70|110|90,1,64,0,0,,E,false,A
275,엘레컴 마우스,203,0.11,100,73.6k,323.2k,-0.25,300|220|330|240|230|280|260|260|240|210|220|180,8,2112,0,0,,E,false,A
276,인체공학 마우스패드,20,,,0,0,-0.33,30|20|30|30|30|30|20|16|30|20|20|20,4,1088,0,0,258|890|261|264|331|35|310|282|233|311|305|275,E,false,A
277,마우스 손잡이,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,250|789|317|890|251|263|260|35|273|225|256|322,E,false,A
278,마우스 손목쿠션,590,0.76,94,0,0,-0.14,510|550|670|500|570|290|300|460|640|580|640|550,8,9280,0,0,224|284|230|319|246|264|227|265|263|35|286|239,E,false,A
279,다이소 마우스 팜레스트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,278,E,false,A
280,다이소 팜레스트 만들기,0,,,0,0,0,0|19|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,E,false,A
281,손목 쿠션,1233,0.13,78,117.9k,342.8k,0.05,1.6k|1.8k|1.9k|2.0k|1.6k|1.2k|1.2k|1.2k|1.2k|1.1k|1.3k|1.3k,8,1088,2,16,278,E,false,A
282,손목 보호 마우스 패드 디시,63,,60,0,0,0.4,70|70|50|50|50|50|40|50|50|50|70|70,1,1088,0,0,,E,false,A
283,손목보호대 클리앙,10,0.28,57,0,0,0,10|10|20|10|10|10|10|10|10|10|10|10,1,64,0,0,270,E,false,A
284,다이소 마우스 손목 보호대,47,0.03,41,0,0,-0.25,40|100|70|120|170|100|30|40|70|50|40|52,8,1024,0,0,,E,false,A
285,슬라이딩 가구패드,38,,,0,0,-0.58,50|60|30|47|29|30|40|35|58|42|50|24,4,1088,0,0,291,E,false,A
286,손목 받침대 추천,150,0.03,100,153.6k,576.0k,-0.2,130|170|220|200|160|210|170|170|200|130|160|160,4,8257,0,0,,E,false,A
287,마우스 손목받침대 디시,183,0.42,83,0,0,0,140|140|210|210|170|170|170|140|170|170|210|170,1,64,0,0,,E,false,A
288,말랑 이 손목쿠션,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,278,E,false,A
289,다이소 손목보호 마우스패드,43,,65,0,0,-0.33,40|50|60|70|50|60|40|40|60|40|50|40,8,64,0,0,330,E,false,A
290,다이소 키보드 손목쿠션,51,0.01,57,0,0,-0.12,37|40|120|50|40|39|60|50|40|50|70|35,8,1088,0,0,278,E,false,A
291,다이소 슬라이딩 패드,32,,,0,0,-0.13,29|59|36|54|34|23|18|24|46|24|34|40,8,1088,0,32,230|268|316|234|890|251|35|282,E,false,A
292,마우스 손목 축,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,319|258|890|251|35|266|302|232|229|327|298|271,E,false,A
293,가구 슬라이딩 패드,100,0.19,93,0,0,-0.2,120|100|90|100|67|87|90|69|100|120|100|80,4,1088,0,32,291,E,false,A
294,손목 보호대 추천 클리앙,10,,93,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,64,0,0,270,E,false,A
295,다이소 키보드 쿠션,40,,,0,0,0.66,19|40|40|40|50|40|20|30|30|40|30|50,8,1088,0,0,278,E,false,A
296,다이소 마우스 선 거치대,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,284|230|268|314|246|234|255|280|890|251|35|226,E,false,A
297,마우스 선 꼬임,13,,0,0,0,0,20|10|10|10|10|20|10|10|10|20|10|10,4,65,0,0,296,E,false,A
298,키보드 손목 받침대퀘이사존,33,0.52,91,0,0,0.5,30|40|30|40|30|20|30|20|20|30|40|30,1,64,0,0,,E,false,A
299,다이 소 팔 거치대,0,,,0,0,0,0|12|26|37|19|25|22|0|0|0|0|0,8,3136,0,0,278,E,false,A
300,다이소 마우스 쿠션,10,,,0,0,-1,0|18|18|16|20|16|0|0|17|17|13|0,8,1024,0,0,278,E,false,A
301,버티컬 마우스 손목 아픔 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,1239,E,false,A
302,컴퓨터 손목 받침대 효과,10,,34,0,0,0,20|20|10|20|10|10|10|10|10|10|10|10,1,8257,0,0,,E,false,A
303,버티컬 마우스 손가락 통증,10,,0,0,0,0,20|20|47|30|20|10|10|10|10|10|10|10,1,2112,0,0,1507|1390|1239|1316,E,false,A
304,다이소 식탁보호,3,,,0,0,0,0|10|0|0|12|0|0|0|0|0|11|0,8,3137,0,0,291,E,false,A
305,손목보호 패드,303,0.56,100,82.2k,332.0k,0.03,270|290|370|320|340|280|250|300|290|280|330|300,8,9281,0,0,,E,false,A
306,마우스 팜레스트,703,0.19,98,91.9k,452.4k,0.45,480|470|540|650|510|590|490|390|600|600|640|870,8,8256,0,0,,E,false,A
307,가구 발 패드,69,,,0,0,-0.15,0|16|13|47|29|25|40|60|70|70|80|59,8,1088,0,0,291,E,false,A
308,마우스 손목 받침대 불편,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,258|328|287|264|257|223|35|301|282|222|249|254,E,false,A
309,손목인형,170,0.08,52,0,0,-0.28,210|220|200|130|160|150|120|180|280|150|160|200,8,65,0,1,278,E,false,A
310,버티컬 마우스 손목받침대,326,0.27,96,117.5k,486.4k,0.25,200|190|250|190|180|150|170|210|270|270|370|340,8,10304,0,24,,E,false,A
311,손목보호 마우스패드 효과,23,,44,0,0,0,40|30|50|60|40|30|20|20|20|20|30|20,1,9281,0,0,,E,false,A
312,구름 손목 쿠션,16,,,0,0,0.3,0|0|0|20|20|0|0|0|13|13|18|17,8,66,0,0,313|237|287|264|265|35|323|252|253|239|326,E,false,A
313,구름 팜레스트 디시,10,,29,0,0,-0.66,20|10|20|20|40|20|20|10|30|10|10|10,4,64,0,0,,E,false,A
314,다이소 버티컬 마우스,7830,0.09,35,35.1k,107.2k,14.02,430|410|460|430|500|390|420|400|460|520|16.1k|6.9k,8,9280,0,0,1507|1316,E,false,A
315,테프론 슬라이딩패드,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,291,E,false,A
316,다이소 마우스패드 디시,213,,8,0,0,0,210|170|170|170|170|170|170|140|170|210|260|170,4,1088,0,0,,E,false,A
317,로지텍 왼손 마우스,160,0.2,79,59.6k,294.6k,-0.15,140|140|160|160|140|160|210|170|190|160|160|160,8,9280,0,32,1507|1316,E,false,A
318,마우스 손목 받침,196,0.35,74,54.5k,325.6k,0,140|160|190|160|190|180|120|110|180|160|250|180,8,9280,0,16,259,E,false,A
319,다이소 손목 받침대,1106,0.12,36,0,0,0.04,670|760|920|860|930|590|780|980|1.1k|1.0k|1.2k|1.1k,8,1088,0,8,,E,false,A
320,다이소 손목 패드,63,0.01,31,0,0,-0.44,80|70|100|60|50|50|60|50|90|50|90|50,8,1088,0,0,330,E,false,A
321,다이소 손목 마우스패드,20,,,0,0,-0.5,30|40|40|40|20|28|20|30|40|20|20|20,8,1088,0,0,330,E,false,A
322,왼손잡이 마우스 디시,46,,3,0,0,0.25,50|30|50|50|30|50|40|40|40|50|40|50,1,64,0,0,,E,false,A
323,손목 받침대,3726,0.16,100,94.6k,355.7k,-0.18,4.2k|4.0k|5.4k|5.7k|4.5k|4.0k|3.8k|4.6k|4.9k|3.2k|4.0k|4.0k,8,9280,0,8,,E,false,A
324,마우스 손목 받침대클리앙,10,,61,0,0,0,40|20|10|10|10|10|10|10|10|10|10|10,1,64,0,0,,E,false,A
325,마우스 보호대,80,,73,0,0,0.5,80|90|70|70|80|50|60|50|60|60|90|90,9,9281,0,16,329|247|258|890|324|328|261|264|306|274|35|310,E,false,A
326,키보드 쿠션 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,E,false,A
327,키보드 손목 받침대 추천,253,0.17,100,167.8k,753.8k,-0.25,270|230|390|460|360|270|270|250|310|230|300|230,4,65,0,0,,E,false,A
328,마우스 손목 보호대,1153,0.2,100,88.2k,443.7k,0.11,1.3k|1.3k|1.4k|1.3k|1.4k|740|830|880|990|1.0k|1.3k|1.1k,9,9281,0,0,,E,false,A
329,게임용 손목 보호대 디시,63,0.74,59,0,0,-0.22,50|50|90|90|70|90|90|50|90|70|50|70,1,1088,0,0,,E,false,A
330,다이소 마우스 받침대,20,,,0,0,0.05,0|17|18|20|20|20|18|20|19|20|20|20,8,1088,0,0,250|268|289|246|234|255|280|258|890|264|35|282,E,false,A
331,마우스 손목보호대 추천,23,0,86,0,0,-0.5,60|57|30|40|40|20|40|20|20|20|40|10,8,9281,0,0,,E,false,A
332,ergonomic 마우스,32,,,0,0,-0.46,20|0|19|0|0|0|20|17|30|30|50|16,8,2113,0,0,341,F,false,A
333,마이크로소프트 에고노믹 마우스 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,F,false,A
334,m1300,32,,14,0,0,0,70|50|50|60|50|25|42|26|24|36|36|24,8,1088,0,0,1578|372,F,false,A
335,마이크로소프트 스컬프트 마우스 단종,30,,4,0,0,0,30|40|50|40|43|40|30|45|30|20|40|30,4,65,0,0,,F,false,A
336,마이크로소프트 스컬프트 에고노믹 마우스,32,0.1,51,0,0,-0.56,40|40|50|40|70|30|40|40|60|40|30|26,8,64,0,0,,F,false,A
337,마이크로소프트 에고노믹 키보드,92,0.02,51,0,0,0.42,120|90|100|80|80|80|60|60|70|89|88|100,8,1088,0,0,,F,false,A
338,어고노믹 마우스,42,0.08,49,0,0,0.25,40|40|60|50|60|40|50|40|40|38|40|50,8,64,0,0,341,F,false,A
339,마이크로소프트 스컬프트 마우스 후기,10,,3,0,0,0,30|20|20|20|20|20|10|10|10|10|10|10,1,8256,0,0,,F,false,A
340,마이크로소프트 무선 마우스,386,0.11,87,112.9k,324.7k,-0.14,530|510|430|460|420|390|400|400|420|400|400|360,8,2112,0,0,,F,false,A
341,에고노믹 마우스,120,0.15,71,0,0,-0.07,240|150|200|160|140|120|110|150|140|100|130|130,8,65,0,32,363|359|335|348|339|336|333|344|356|337|35,F,false,A
342,마이크로소프트 마우스 드라이버,144,,0,0,0,-0.35,220|241|222|192|192|180|173|170|170|151|172|110,1,2113,1,8,,F,false,A
343,에르고노믹 마우스,60,0.32,100,0,0,-0.16,28|40|60|40|30|40|25|38|60|50|80|50,8,1091,0,0,363|359|335|348|367|375|339|358|356|337|35|341,F,false,A
344,마이크로소프트 에고노믹 마우스 연결,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,F,false,A
345,마이크로소프트 스컬프트 에고노믹 키보드,30,0.25,44,0,0,0.33,47|37|40|50|40|27|40|30|30|10|40|40,8,1088,0,0,,F,false,A
346,서피스 프리시전 마우스,36,,0,0,0,0.33,10|10|10|30|10|10|20|34|30|30|40|40,8,64,0,0,341,F,false,A
347,마이크로소프트 무소음 마우스,10,0.15,100,0,0,-0.62,10|10|26|10|23|10|10|10|27|10|10|10,8,2113,0,0,342|340|351|364|335|348|339|345|362|356|35,F,false,A
348,마이크로소프트 스컬프트 마우스 드라이버,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,65,0,0,,F,false,A
349,스컬 프트 에르고 노믹 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,9280,0,0,341,F,false,A
350,마소 버티컬,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,353|335|348|367|339|374|358|344|356|337|35,F,false,A
351,마이크로소프트 무선 마우스 연결,43,,4,0,0,-0.25,40|50|50|60|50|50|50|60|40|50|50|30,1,65,0,0,,F,false,A
352,스컬 프 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,1316|341,F,false,A
353,마이크로소프트 마우스,3883,0.15,90,94.8k,292.0k,-0.23,4.6k|4.3k|4.6k|4.3k|4.2k|3.8k|3.7k|4.0k|4.4k|4.0k|4.2k|3.4k,8,2112,0,0,,F,true,A
354,프리시전 마우스,36,,15,0,0,1,27|10|10|10|10|10|10|10|20|30|39|40,8,1088,0,0,341,F,false,A
355,ms 프리시전 마우스,10,,0,0,0,0,10|0|10|10|10|10|10|10|10|10|10|10,8,1088,0,0,341,F,false,A
356,마이크로소프트 에고노믹 마우스 후기,10,,29,0,0,0,10|10|10|10|20|10|10|10|10|10|10|10,1,8257,0,0,,F,false,A
357,마이크로소프트 어고노믹 마우스,18,0.06,57,0,0,-0.66,37|36|36|40|20|38|46|10|30|10|36|10,8,8256,0,0,,F,false,A
358,마이크로소프트 스컬프트 키보드,210,0.27,46,0,0,-0.12,220|140|120|160|220|170|190|180|240|160|260|210,8,64,0,32,,F,false,A
359,마이크로소프트 마우스 단종,13,,6,0,0,0,0|0|30|20|10|20|10|10|10|10|20|10,4,1089,0,0,,F,false,A
360,ms 버티컬 마우스,56,0.06,83,0,0,-0.28,70|80|100|100|80|60|70|70|70|40|80|50,8,2112,0,0,1507|341,F,false,A
361,마우스 인체공학,43,0.1,100,0,0,-0.16,29|50|40|50|40|36|38|50|60|40|40|50,8,2112,0,0,1507|1601|1239|1316|372,F,false,A
362,마이크로소프트 아크 마우스,420,0.26,99,95.5k,520.0k,-0.04,450|390|400|400|390|330|350|350|410|410|460|390,8,64,0,32,,F,false,A
363,ms 에르고 마우스,10,0.12,29,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,64,0,0,,F,false,A
364,마이크로소프트 블루투스 마우스,286,0.08,87,55.5k,242.6k,0.03,330|270|350|340|260|230|230|230|260|320|270|270,8,64,1,32,,F,false,A
365,삼성 인체공학 마우스,96,0,100,0,0,-0.55,70|70|60|50|80|50|60|30|90|120|130|40,8,1088,0,0,1507|1316|372,F,false,A
366,마소 스컬프트,15,,29,0,0,-0.66,10|22|27|10|26|38|10|25|30|10|25|10,8,1088,0,0,,F,false,A
367,마이크로소프트 스컬프트 마우스 수리,22,,0,0,0,-0.23,40|30|27|27|10|10|29|30|30|10|33|23,1,8257,0,0,,F,false,A
368,에고노믹 버티컬,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,341,F,false,A
369,스컬프트 마우스 수리,15,,,0,0,-1,30|0|0|0|0|0|18|20|20|30|16|0,1,8256,0,0,,F,false,A
370,에고노믹,46,,10,0,0,-0.44,60|70|70|70|70|60|50|60|90|50|40|50,8,3137,0,0,341,F,false,A
371,ms 인체공학 마우스,10,0.08,45,0,0,-0.65,28|28|30|10|10|20|10|20|29|10|10|10,8,9280,0,0,1316|341,F,false,A
372,스컬프트 인체공학 마우스,14,,29,0,0,0,10|10|10|10|10|10|10|10|10|23|10|10,8,66,0,0,366|359|335|348|339|345|358|357|356|35|369|341,F,false,A
373,스컬프트 마우스,186,0.22,57,0,0,-0.19,260|180|220|230|170|120|150|190|210|210|180|170,8,64,1,32,341,F,false,A
374,마이크로소프트 스컬프트 에고노믹,73,,29,0,0,-0.36,150|130|160|160|140|80|120|100|110|70|80|70,8,8256,0,16,,F,false,A
375,마이크로소프트 스컬프트 마우스 연결,10,,35,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,65,0,0,,F,false,A
376,마우스 틸트 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,390,G,false,A
377,배그 마우스 사선,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,G,false,A
